제목,내용,날짜,URL
"기아, DK 권재혁 선수에 휠체어 특화 전기차 'PV5 WAV' 전달",e스포츠 선수에게 교통약자 특화 전기차를 지원한 사례는 국내에서 처음이다. 기아 언플러그드... 이번에 제공된 PV5 WAV는 휠체어 이용 승객의 안전하고 편리한 이동을 위해 개발된 특수 목적 전기차다. 국내 전기차... ,2026-03-15 14:29,https://www.newspim.com/news/view/20260315000124
"뉴스 보고 주유소 갔는데…""전기차로 바꿀까 고민 중이네요"" [현장+]","그는 ""요즘 기름값 부담 때문에 외출을 줄이고 있다""며 ""아예 차를 전기차로 바꿀까 고민 중""이라고 덧붙였다. 지역에 따른 가격 차이도 여전히 존재했다. 이날 오후 4시 기준 서울 주유소 평균 휘발유 가격은 L당 1864.... ",2026-03-15 20:04,https://n.news.naver.com/mnews/article/015/0005262538?sid=103
"기아, 프로게이머 권재혁에 ‘맞춤형 전기차’ 지원⋯ e스포츠 최초",휠체어를 타는 프로게이머를 위해 맞춤형 전기차를 내놨다. 15일 기아는 디플러스 기아(DK) 소속 권재혁... 휠체어 탑승이 특화된 PV5 WAV은 국내 전기차 최초로 도입된 측면 출입 방식이 특징이다. 넓은 슬라이딩 도어와... ,2026-03-15 10:16,https://www.viva100.com/article/20260315500213
"기아, 교통 약자 특화 전기차 'PV5 WAV' e스포츠 선수에 전달",기아가 휠체어 이용자의 이동 편의를 높인 특수 목적 전기차를 소속 e스포츠 선수에게 무상으로 임대했다.... 이번에 지급된 PV5 WAV는 국내 전기차 모델 가운데 처음으로 측면 출입 방식을 도입한 것이 특징이다. 휠체어... ,2026-03-15 11:44,https://www.financialpost.co.kr/news/articleView.html?idxno=251372
유가 폭등에도 中 버티는 이유?…전기車-재생 에너지 투자 결실,기간 전기차를 보급하고 태양광·풍력·수력 등 대체 에너지의 비중을 높인 덕분에 최근 비교적 안정적으로 대응할 수 있다는 분석이 나온다. 뉴욕타임스(NYT)는 14일 “중국은 수십 년간 수천억 달러를 전기차와... ,2026-03-15 16:55,https://n.news.naver.com/mnews/article/020/0003704130?sid=104
'中 전기차 공습' BYD 질주에 지커·샤오펑 가세…車업계 긴장,세계 1위 전기차 기업인 BYD가 연착륙에 성공한 가운데 기술력을 앞세운 지커와 샤오펑까지 가세하며 전기차 시장의 판도 변화를 예고하고 있기 때문이다. 15일 한국수입자동차협회(KAIDA)에 따르면 BYD는 지난해 국내... ,2026-03-15 18:10,https://n.news.naver.com/mnews/article/008/0005330108?sid=101
전기차 넘어 로봇·ESS로...'K-배터리' 총출동,"그동안 전기차에 주력했던 우리 배터리 기업들은 올해는 로봇·드론 등 미래 먹거리로 시선을 돌렸습니다.... [최기봉 / SK온 PR팀장 : 기존의 전기차뿐만 아니라 물류 로봇, 에너지저장장치 등 다양한 분야로 확장되는... ",2026-03-14 05:37,https://n.news.naver.com/mnews/article/052/0002327051?sid=101
산업용 전기료 낮 16.9원↓·밤 5.1원↑…봄·가을 주말 낮엔 전기차 충...,봄·가을 주말과 공휴일 낮에는 산업용 전기요금과 전기차(EV) 충전전력을 50% 할인한다. 기후에너지환경부와 한국전력공사는 13일 전기위원회 심의를 거쳐 이런 내용의 '계절·시간대별 전기요금 개편안'을 공개했다.... ,2026-03-13 16:04,https://n.news.naver.com/mnews/article/003/0013821074?sid=101
[르포] 충전기 꽂고 밥 먹고 세차까지… ‘기다림’ 사라진 전기차 충전...,전기차에 충전기를 연결한 뒤 카페로 올라가 밥을 먹고 커피를 마셨다. 다시 내려와 보니 충전은 이미 끝나 있었고 세차까지 말끔하게 마무리돼 있었다. 전기차 충전 시간은 보통 '기다림'으로 여겨진다. 하지만... ,2026-03-15 09:15,https://n.news.naver.com/mnews/article/029/0003015717?sid=101
"혼다, 전기차 실적 부진 쇼크... 1950년 상장 이후 최초 적자 기록 전망","이번 실적 악화의 주요 원인은 전기차(EV) 사업 전략 재편에 따른 대규모 구조조정 비용 발생이다. 혼다는 미국 시장을 겨냥해 계획했던 전기차 모델 3종의 생산 계획을 전격 취소하면서 최대 2조 5,000억 엔(약 157억... ",2026-03-15 13:58,https://n.news.naver.com/mnews/article/108/0003416779?sid=004
